Brand_ID,Brand_Name,Sustainability_Rating,Material_Type,Eco_Friendly_Manufacturing,Carbon_Footprint_MT,Water_Usage_Liters,Waste_Production_KG,Recycling_Programs
BRAND-0038,Brand_38,D,Recycled Polyester,Yes,255.32,4642986.14,63309.79,No
BRAND-0039,Brand_39,C,Hemp,No,478.34,4592843.93,93815.42,No
BRAND-0040,Brand_40,B,Organic Cotton,No,418.25,2416857.95,11371.3,No
BRAND-0041,Brand_41,A,Tencel,No,124.81,3578456.07,41009.2,No
BRAND-0042,Brand_42,D,Hemp,Yes,295.57,2208679.26,88617.25,Yes
BRAND-0043,Brand_43,B,Tencel,Yes,455.62,2546933.55,53420.11,No
BRAND-0044,Brand_44,A,Vegan Leather,Yes,434.37,4485908.7,40551.74,No
BRAND-0045,Brand_45,B,Recycled Polyester,Yes,315.39,4238166.74,85154.11,Yes
BRAND-0046,Brand_46,D,Tencel,Yes,202.43,2935889.82,80999.76,No
BRAND-0047,Brand_47,D,Tencel,No,363.8,66938.2,9625.24,Yes
BRAND-0048,Brand_48,B,Organic Cotton,No,382.4,3007645.93,5349.83,Yes
BRAND-0049,Brand_49,B,Hemp,No,288,2328411.6,76891.7,Yes
BRAND-0050,Brand_50,C,Bamboo Fabric,Yes,38.25,4816032.53,67206.93,Yes
BRAND-0051,Brand_51,D,Vegan Leather,Yes,19.12,4247729.83,74281.13,Yes
BRAND-0052,Brand_52,A,Tencel,No,465.37,3438997.67,33956.03,No
BRAND-0053,Brand_53,B,Hemp,No,30.6,2436109.9,64445.97,Yes
BRAND-0054,Brand_54,C,Bamboo Fabric,Yes,368.14,1356637.77,24497.25,No
BRAND-0055,Brand_55,C,Vegan Leather,No,58.32,2938317.57,4671.87,Yes
BRAND-0056,Brand_56,D,Tencel,Yes,317.44,3386658.66,9311.63,No
BRAND-0057,Brand_57,B,Tencel,Yes,63.21,3910771.5,49153.08,No
BRAND-0058,Brand_58,B,Vegan Leather,Yes,83.24,65384.37,81487.65,Yes
BRAND-0059,Brand_59,B,Vegan Leather,Yes,168.32,3411667.16,24814.84,Yes
BRAND-0060,Brand_60,B,Recycled Polyester,Yes,134.29,1675918.75,13866.46,Yes
BRAND-0061,Brand_61,C,Bamboo Fabric,No,176.94,1706304.02,98388.45,Yes
BRAND-0062,Brand_62,B,Recycled Polyester,Yes,459.57,1262304.83,91860.83,Yes
BRAND-0063,Brand_63,A,Recycled Polyester,Yes,317.48,3250619.98,14502.18,Yes
BRAND-0064,Brand_64,C,Recycled Polyester,Yes,118.12,2650618.81,97895.52,No
BRAND-0065,Brand_65,B,Recycled Polyester,No,448.75,2427744.85,35739.14,No
BRAND-0066,Brand_66,D,Bamboo Fabric,Yes,346.21,4431517.33,93177.22,Yes
BRAND-0067,Brand_67,A,Bamboo Fabric,No,154.05,3150639.7,9542.98,Yes
BRAND-0068,Brand_68,D,Hemp,No,221.83,3232837.62,97765.16,Yes
BRAND-0069,Brand_69,C,Tencel,Yes,474.7,1580162.53,22732.05,No
BRAND-0070,Brand_70,D,Vegan Leather,Yes,74.32,4110376.09,89038.36,Yes
BRAND-0071,Brand_71,C,Tencel,Yes,394.67,1424293.75,28854.77,Yes
BRAND-0072,Brand_72,A,Vegan Leather,No,121.11,1357557.81,69593.07,No
BRAND-0073,Brand_73,A,Tencel,Yes,286.44,1562546.48,7867.05,No
BRAND-0074,Brand_74,C,Tencel,Yes,51.55,4796819.05,25167.92,No
BRAND-0075,Brand_75,B,Tencel,No,204.09,1863153.5,26493.93,No
BRAND-0076,Brand_76,A,Recycled Polyester,No,169.63,4347329.99,65146.43,No
BRAND-0077,Brand_77,C,Recycled Polyester,No,347.09,1519014.18,59379.99,Yes
BRAND-0078,Brand_78,D,Vegan Leather,Yes,77.71,1880107.35,30899.97,No
BRAND-0079,Brand_79,B,Organic Cotton,Yes,343.04,2475171.71,27182.05,No
BRAND-0080,Brand_80,B,Vegan Leather,No,358.73,1568552.21,78799.16,No
BRAND-0081,Brand_81,A,Recycled Polyester,No,218.1,2298435.19,1761.34,Yes
BRAND-0082,Brand_82,C,Vegan Leather,Yes,331.04,2664508.93,84504.49,No
BRAND-0083,Brand_83,C,Tencel,Yes,204.77,1962249.61,35066.22,No
BRAND-0084,Brand_84,C,Organic Cotton,Yes,75.48,4650439.21,28599.2,Yes
BRAND-0085,Brand_85,D,Recycled Polyester,No,44.34,2044130.86,2395.39,No
BRAND-0086,Brand_86,C,Recycled Polyester,No,199.92,2488315.29,74339.23,No
BRAND-0087,Brand_87,A,Vegan Leather,Yes,276.69,2381958.82,66716,Yes
BRAND-0088,Brand_88,D,Vegan Leather,Yes,291.79,3203689.5,50000.66,No
BRAND-0089,Brand_89,C,Vegan Leather,Yes,475.14,4548945.26,42811.53,No
BRAND-0090,Brand_90,D,Vegan Leather,No,152.06,3389499.28,58440.36,No
BRAND-0091,Brand_91,B,Tencel,No,264.41,2637824.7,7912.57,No
BRAND-0092,Brand_92,B,Vegan Leather,No,364.82,2186640.3,5824.14,No
BRAND-0093,Brand_93,B,Vegan Leather,Yes,384.95,3477669.16,24539.14,No
BRAND-0094,Brand_94,D,Bamboo Fabric,No,53.16,357792.7,59407.19,No
BRAND-0095,Brand_95,A,Tencel,Yes,123.64,4612093.6,56884.63,No
BRAND-0096,Brand_96,C,Vegan Leather,No,347.56,3505851.91,51945.53,No
BRAND-0097,Brand_97,C,Recycled Polyester,Yes,479.65,1363339.6,64472.04,No
BRAND-0098,Brand_98,C,Tencel,No,186.63,2218131.45,98925.73,Yes
BRAND-0099,Brand_99,B,Organic Cotton,No,252.22,958875.53,53722.85,Yes
BRAND-0100,Brand_100,B,Recycled Polyester,No,481.39,4906438.37,27322.55,No
BRAND-0101,Brand_101,D,Hemp,Yes,242.61,1934618.84,63190.78,No
BRAND-0102,Brand_102,B,Recycled Polyester,No,427.13,3641910.27,17326.87,Yes
BRAND-0103,Brand_103,A,Bamboo Fabric,Yes,47.65,1331967.52,18425.04,Yes
BRAND-0104,Brand_104,A,Tencel,No,302.11,1817495.16,33016.78,Yes
BRAND-0105,Brand_105,A,Hemp,Yes,360.09,3732137.92,77538.73,No
BRAND-0106,Brand_106,C,Organic Cotton,Yes,20.73,1272635.13,12883.33,No
BRAND-0107,Brand_107,C,Hemp,No,316.7,1408780.91,51791.04,Yes
BRAND-0108,Brand_108,D,Vegan Leather,Yes,63.55,3546692.49,61813.16,Yes
BRAND-0109,Brand_109,B,Vegan Leather,Yes,85,1954874.74,5549.41,Yes
BRAND-0110,Brand_110,A,Vegan Leather,No,409.37,1329572.99,70682.62,Yes
BRAND-0111,Brand_111,A,Tencel,No,18.34,1971538.81,49206.09,No
BRAND-0112,Brand_112,C,Organic Cotton,No,218.65,916249.72,92679.89,Yes
BRAND-0113,Brand_113,B,Organic Cotton,No,471.17,173345.1,95980.3,No
BRAND-0114,Brand_114,D,Vegan Leather,Yes,323.13,1432621.83,25997.5,Yes
BRAND-0115,Brand_115,D,Tencel,Yes,419.84,4900485.4,92114.78,Yes
BRAND-0116,Brand_116,B,Vegan Leather,No,279.42,3242822.34,59473.38,Yes
BRAND-0117,Brand_117,C,Bamboo Fabric,No,17.89,2958385.59,30934.79,No
BRAND-0118,Brand_118,C,Organic Cotton,No,357.99,2829885.94,90089.19,No
BRAND-0119,Brand_119,C,Hemp,No,178.13,3408139.71,66214.85,No
BRAND-0120,Brand_120,D,Bamboo Fabric,No,149.42,105902.81,15054.43,No
BRAND-0121,Brand_121,A,Recycled Polyester,No,233.99,2595245.48,41516.78,No
BRAND-0122,Brand_122,B,Hemp,No,359.68,2487675.57,62073.72,No
BRAND-0123,Brand_123,B,Hemp,Yes,261.27,1276598.09,36497.19,No
BRAND-0124,Brand_124,C,Organic Cotton,Yes,197.43,3327856.95,1026.38,No
BRAND-0125,Brand_125,A,Bamboo Fabric,No,12.75,2839840.43,70815.72,Yes
BRAND-0126,Brand_126,D,Tencel,Yes,291.47,2972854.6,37791.12,Yes
BRAND-0127,Brand_127,C,Hemp,Yes,125.39,1453757.85,29933.59,No
BRAND-0128,Brand_128,B,Vegan Leather,Yes,147.3,2497654.23,11487.46,No
BRAND-0129,Brand_129,A,Tencel,Yes,441.4,3541423.74,84810.02,No
BRAND-0130,Brand_130,A,Organic Cotton,No,437.36,4610075.73,55101.57,Yes
BRAND-0131,Brand_131,D,Bamboo Fabric,No,394.71,3737612.39,47507.88,Yes
BRAND-0132,Brand_132,B,Recycled Polyester,No,54.25,4598900.27,1203.32,No
BRAND-0133,Brand_133,B,Hemp,No,499.82,4390878.58,75657.34,No
BRAND-0134,Brand_134,B,Tencel,Yes,190.42,1482288.75,41553.33,No
BRAND-0135,Brand_135,A,Hemp,No,499.89,4771068.92,84972.17,No
BRAND-0136,Brand_136,A,Tencel,No,297.74,1168392.22,9798.28,Yes
BRAND-0137,Brand_137,B,Hemp,Yes,175.32,1797871.37,12358.45,Yes
BRAND-0138,Brand_138,C,Organic Cotton,No,296.75,3925788.39,84842.78,No
BRAND-0139,Brand_139,B,Tencel,No,305.66,2630130.72,43360.72,Yes
BRAND-0140,Brand_140,B,Organic Cotton,Yes,95.73,3643293.99,46696.11,No
BRAND-0141,Brand_141,C,Bamboo Fabric,Yes,445.67,4773997.53,54824.14,Yes
BRAND-0142,Brand_142,C,Hemp,Yes,275.48,2528385.2,18359.11,No
BRAND-0143,Brand_143,A,Bamboo Fabric,No,199.17,3373982.21,13320.3,Yes
BRAND-0144,Brand_144,B,Hemp,No,332.24,1819385.59,95549.41,No
BRAND-0145,Brand_145,C,Bamboo Fabric,Yes,15.44,3331973.79,5114.72,Yes
BRAND-0146,Brand_146,B,Bamboo Fabric,Yes,164.31,3982288.22,60704.84,No
BRAND-0147,Brand_147,A,Hemp,Yes,374.79,581419.83,40911.13,Yes
BRAND-0148,Brand_148,D,Tencel,No,184.92,262604.96,63384.21,No
BRAND-0149,Brand_149,B,Recycled Polyester,No,351.17,4076142.85,22978.82,Yes
BRAND-0150,Brand_150,A,Recycled Polyester,No,309.84,3542368.46,11357.08,Yes
BRAND-0151,Brand_151,B,Hemp,Yes,482.8,757408.83,62932.02,Yes
BRAND-0152,Brand_152,B,Hemp,No,243.15,3172294.5,98984.45,No
BRAND-0153,Brand_153,D,Hemp,Yes,1.61,4070653.06,45663.62,Yes
BRAND-0154,Brand_154,B,Tencel,Yes,30.67,4999380.44,49890.36,Yes
BRAND-0155,Brand_155,C,Organic Cotton,No,302.58,3627022.42,24060.1,No
BRAND-0156,Brand_156,C,Vegan Leather,No,31.91,4646796.22,79534.87,Yes
BRAND-0157,Brand_157,D,Vegan Leather,No,58.51,4706391.87,10851.45,No
BRAND-0158,Brand_158,C,Hemp,Yes,433.37,2343266.44,65630.52,Yes
BRAND-0159,Brand_159,C,Bamboo Fabric,Yes,321.76,768139.01,45242.69,No
BRAND-0160,Brand_160,C,Tencel,No,72.99,3543945.17,78175.07,No
BRAND-0161,Brand_161,C,Tencel,Yes,268.11,3333587.49,55919.39,Yes
BRAND-0162,Brand_162,C,Tencel,No,367.23,4428538.42,16475.73,Yes
BRAND-0163,Brand_163,B,Recycled Polyester,Yes,484.3,4159619.25,33831.46,Yes
BRAND-0164,Brand_164,A,Recycled Polyester,No,133.6,2337641.56,48998.42,Yes
BRAND-0165,Brand_165,A,Tencel,Yes,464.76,2823867.02,90445.27,No
BRAND-0166,Brand_166,C,Recycled Polyester,Yes,356.35,4216320.08,80380.67,Yes
BRAND-0167,Brand_167,B,Vegan Leather,No,49.09,1488899.49,34403.32,Yes
BRAND-0168,Brand_168,A,Hemp,Yes,376.08,2280369.67,41246.45,No
BRAND-0169,Brand_169,D,Organic Cotton,No,112.55,4600761.17,24615.69,Yes
BRAND-0170,Brand_170,B,Recycled Polyester,Yes,194.09,2297024.64,30322.01,Yes
BRAND-0171,Brand_171,A,Hemp,No,310.24,3058443.05,71771.27,Yes
BRAND-0172,Brand_172,C,Hemp,No,69.18,4615188.71,72036.31,Yes
BRAND-0173,Brand_173,B,Vegan Leather,No,171.53,4349678.82,6898.77,Yes
BRAND-0174,Brand_174,A,Tencel,No,291.16,2529574.61,71591.58,No
BRAND-0175,Brand_175,B,Bamboo Fabric,No,94.76,76517.96,23062.35,No
BRAND-0176,Brand_176,D,Organic Cotton,No,147.84,4602705.14,45328.91,No
BRAND-0177,Brand_177,A,Organic Cotton,No,236.5,3297390.45,47502.47,Yes
BRAND-0178,Brand_178,B,Hemp,No,274.42,2911175.45,72056.77,Yes
BRAND-0179,Brand_179,B,Hemp,Yes,229.15,2277871.36,63581.26,No
BRAND-0180,Brand_180,A,Bamboo Fabric,No,319.19,4776451.8,63171.25,No
BRAND-0181,Brand_181,D,Tencel,No,198.51,3475752.19,28061.1,No
BRAND-0182,Brand_182,B,Organic Cotton,Yes,40.01,3984337.24,28204.78,Yes
BRAND-0183,Brand_183,A,Bamboo Fabric,Yes,380.3,4427311.21,47574.38,No
BRAND-0184,Brand_184,D,Bamboo Fabric,Yes,295.12,3964493.5,42549.18,Yes
BRAND-0185,Brand_185,C,Organic Cotton,Yes,1.33,3407000.65,96799.08,Yes
BRAND-0186,Brand_186,A,Bamboo Fabric,Yes,344.71,406930.47,79639.11,No
BRAND-0187,Brand_187,A,Hemp,No,402.76,1982948.35,34682.73,No
BRAND-0188,Brand_188,D,Organic Cotton,Yes,307.52,3731017.24,59023.01,No
BRAND-0189,Brand_189,D,Vegan Leather,No,378.19,1315561.96,43522.71,No
BRAND-0190,Brand_190,B,Recycled Polyester,No,92.96,858534.76,10347.49,Yes
BRAND-0191,Brand_191,B,Bamboo Fabric,Yes,128.26,209134.71,14174.67,No
BRAND-0192,Brand_192,A,Tencel,No,409.84,3747225.25,29074.79,Yes
BRAND-0193,Brand_193,A,Hemp,No,429.34,54484.49,17209.58,No
BRAND-0194,Brand_194,A,Organic Cotton,Yes,229.33,4895683.9,96516.5,Yes
BRAND-0195,Brand_195,C,Bamboo Fabric,Yes,431.56,4947047.2,76475.84,No
BRAND-0196,Brand_196,A,Vegan Leather,No,463.02,3119576.1,97898.86,Yes
BRAND-0197,Brand_197,C,Hemp,No,132.8,2190634.28,46682.86,Yes
BRAND-0198,Brand_198,C,Vegan Leather,Yes,316.26,1723552.02,27806.8,Yes
BRAND-0199,Brand_199,D,Vegan Leather,No,441.9,3897505.37,58605.69,Yes
BRAND-0200,Brand_200,C,Recycled Polyester,No,223.54,252971.31,39162.98,Yes
BRAND-0201,Brand_201,B,Hemp,No,207.42,3206140.55,82538.61,Yes
BRAND-0202,Brand_202,D,Recycled Polyester,Yes,439.75,194696.6,71979.02,Yes
BRAND-0203,Brand_203,A,Bamboo Fabric,No,215.83,3252720.54,41294.92,No
BRAND-0204,Brand_204,C,Tencel,Yes,85.62,4575682.55,66804.49,Yes
BRAND-0205,Brand_205,C,Tencel,No,45.97,3431078.72,42577.35,Yes
BRAND-0206,Brand_206,B,Hemp,Yes,113.24,3792173.73,20182.93,No
BRAND-0207,Brand_207,D,Recycled Polyester,Yes,135.93,4604643.49,21353.76,No
BRAND-0208,Brand_208,C,Vegan Leather,No,409.95,4235223.46,67203.66,Yes
BRAND-0209,Brand_209,D,Organic Cotton,Yes,187.78,2447833.25,43866.04,Yes
BRAND-0210,Brand_210,B,Organic Cotton,No,251.03,1079813.36,71367.21,Yes
BRAND-0211,Brand_211,A,Hemp,No,456.1,4076570.42,32729.28,No
BRAND-0212,Brand_212,D,Hemp,Yes,393.08,417763.86,49542.77,No
BRAND-0213,Brand_213,B,Vegan Leather,Yes,358.33,3127245.84,86674.08,Yes
BRAND-0214,Brand_214,D,Hemp,Yes,60.27,2970341.87,58607.16,No
BRAND-0215,Brand_215,D,Organic Cotton,Yes,258.78,1627210.8,43482.01,No
BRAND-0216,Brand_216,D,Organic Cotton,Yes,375.86,4936548.16,7389.3,No
BRAND-0217,Brand_217,A,Bamboo Fabric,No,401.5,182462.67,63446.83,No
BRAND-0218,Brand_218,D,Bamboo Fabric,Yes,457.72,4478474.6,29526.82,No
BRAND-0219,Brand_219,D,Hemp,Yes,438.24,952076.9,91096.81,No
BRAND-0220,Brand_220,D,Tencel,Yes,228.76,335184.43,28035.06,Yes
BRAND-0221,Brand_221,C,Vegan Leather,Yes,14.82,1929557.59,26774.93,Yes
BRAND-0222,Brand_222,A,Recycled Polyester,Yes,52.33,1991922.54,89818.41,Yes
BRAND-0223,Brand_223,D,Vegan Leather,Yes,170.42,2364473.29,29751.48,Yes
BRAND-0224,Brand_224,C,Bamboo Fabric,No,316.91,1521750.57,60810.32,No
BRAND-0225,Brand_225,A,Recycled Polyester,No,440.72,1131876.86,19126.25,Yes
BRAND-0226,Brand_226,D,Vegan Leather,Yes,252.89,3592593.46,92908.39,Yes
BRAND-0227,Brand_227,A,Hemp,Yes,354.79,4097191.58,11195.55,Yes
BRAND-0228,Brand_228,C,Recycled Polyester,No,9.25,3018460.08,28390.56,Yes
BRAND-0229,Brand_229,B,Bamboo Fabric,No,39.92,199893.69,43999.6,No
BRAND-0230,Brand_230,C,Recycled Polyester,Yes,215.87,3456943.82,58520.48,No
BRAND-0231,Brand_231,D,Hemp,No,22.95,3253387.11,74409.86,No
BRAND-0232,Brand_232,A,Tencel,No,368.3,3282464.12,15895.44,Yes
BRAND-0233,Brand_233,B,Recycled Polyester,Yes,360.08,786734.6,23578.97,No
BRAND-0234,Brand_234,D,Vegan Leather,No,476.19,3180896.37,34466.59,No
BRAND-0235,Brand_235,C,Organic Cotton,No,244.42,3957474.39,20465.35,Yes
BRAND-0236,Brand_236,A,Bamboo Fabric,No,473.36,1782635.86,8835.13,Yes
BRAND-0237,Brand_237,B,Recycled Polyester,Yes,361.5,2582180.84,60117.7,No
BRAND-0238,Brand_238,A,Bamboo Fabric,Yes,248.57,1871302.45,9327.98,No
BRAND-0239,Brand_239,D,Bamboo Fabric,Yes,456.18,2298106.26,27290.31,Yes
BRAND-0240,Brand_240,A,Bamboo Fabric,Yes,378.81,4844735.17,68574.16,Yes
BRAND-0241,Brand_241,B,Recycled Polyester,Yes,127.31,2346590.57,14484.61,Yes
BRAND-0242,Brand_242,C,Recycled Polyester,No,231.13,3424325.21,70666.53,No
BRAND-0243,Brand_243,B,Recycled Polyester,Yes,146.41,1818130.74,13252.63,Yes
BRAND-0244,Brand_244,B,Organic Cotton,No,30.14,3625310.39,87699.99,Yes
BRAND-0245,Brand_245,C,Vegan Leather,Yes,456.43,3350370.87,87749.43,No
BRAND-0246,Brand_246,C,Hemp,Yes,424.64,2608089.35,50577.02,Yes
BRAND-0247,Brand_247,C,Recycled Polyester,No,358.62,2880415.06,62712.33,Yes
BRAND-0248,Brand_248,B,Vegan Leather,No,212.98,3320356.38,6752.44,Yes
BRAND-0249,Brand_249,D,Bamboo Fabric,Yes,405.24,3048329.01,76273.29,No
BRAND-0250,Brand_250,A,Tencel,No,449.32,2493806.58,65392.33,No
BRAND-0251,Brand_251,A,Vegan Leather,No,429.1,3040963.86,97688.11,No
BRAND-0252,Brand_252,B,Organic Cotton,No,405.73,1261626.18,7281.79,No
BRAND-0253,Brand_253,C,Recycled Polyester,No,355.93,2260968.58,13386.89,No
BRAND-0254,Brand_254,A,Bamboo Fabric,Yes,241.81,2263789.87,53968.69,Yes
BRAND-0255,Brand_255,D,Tencel,Yes,484.16,773875.94,82610.89,Yes
BRAND-0256,Brand_256,B,Tencel,No,268.02,1902924.59,14200.93,No
BRAND-0257,Brand_257,A,Bamboo Fabric,No,489.8,2188946.02,24376.21,Yes
BRAND-0258,Brand_258,A,Organic Cotton,Yes,342.09,2545356.06,16136.8,No
BRAND-0259,Brand_259,B,Hemp,No,188.71,2388298.54,40810.24,Yes
BRAND-0260,Brand_260,A,Tencel,No,235.52,2357676.46,37785.6,No
BRAND-0261,Brand_261,D,Tencel,Yes,21.21,3735763.17,40921.6,No
BRAND-0262,Brand_262,D,Organic Cotton,No,192.97,3234231.18,98319.02,Yes
BRAND-0263,Brand_263,A,Hemp,No,363.68,2146454.79,90222.52,No
BRAND-0264,Brand_264,B,Recycled Polyester,No,314.68,279217.99,97637.91,No
BRAND-0265,Brand_265,A,Hemp,Yes,370.35,174958.64,32439.23,No
BRAND-0266,Brand_266,D,Tencel,Yes,208.21,4005063.96,96628.24,Yes
BRAND-0267,Brand_267,B,Bamboo Fabric,No,428.15,4278770.23,41612.19,Yes
BRAND-0268,Brand_268,A,Bamboo Fabric,No,48.32,1326816.39,5354.88,Yes
BRAND-0269,Brand_269,C,Organic Cotton,No,391.59,381064.38,59819.43,No
BRAND-0270,Brand_270,C,Hemp,Yes,105.99,2376533.15,42301.34,Yes
BRAND-0271,Brand_271,B,Recycled Polyester,Yes,341.15,3977970.71,19036.08,No
BRAND-0272,Brand_272,A,Organic Cotton,No,66.27,3300495.72,69217.75,Yes
BRAND-0273,Brand_273,A,Bamboo Fabric,No,378.96,3538383.43,46348.86,Yes
BRAND-0274,Brand_274,C,Bamboo Fabric,No,416.73,3947337.39,88881.07,No
BRAND-0275,Brand_275,D,Bamboo Fabric,No,274.48,4611213.12,50524.49,No
BRAND-0276,Brand_276,B,Hemp,Yes,249.48,1669637.51,61559,Yes
BRAND-0277,Brand_277,A,Organic Cotton,No,307.03,1977925.04,93930.71,Yes
BRAND-0278,Brand_278,B,Vegan Leather,Yes,146.9,2888736.49,25305.94,No
BRAND-0279,Brand_279,C,Tencel,No,84.22,4834356.76,82780.35,Yes
BRAND-0280,Brand_280,A,Hemp,No,292.56,2826311.89,25654.3,No
BRAND-0281,Brand_281,C,Recycled Polyester,No,288.15,1341652.16,73498.48,Yes
BRAND-0282,Brand_282,C,Bamboo Fabric,Yes,158.6,4626059.81,73967.7,No
BRAND-0283,Brand_283,D,Recycled Polyester,No,111.47,4113496.87,90494.24,No
BRAND-0284,Brand_284,B,Bamboo Fabric,Yes,227.96,3890391.92,33710.74,Yes
BRAND-0285,Brand_285,D,Hemp,Yes,421.99,295419.6,81480.02,No
BRAND-0286,Brand_286,A,Hemp,No,460.59,1087178.59,16766.49,No
BRAND-0287,Brand_287,C,Recycled Polyester,No,64.95,179431.01,44900.82,Yes
BRAND-0288,Brand_288,D,Bamboo Fabric,No,451.3,203329.13,26472.94,Yes
BRAND-0289,Brand_289,A,Bamboo Fabric,No,168.92,4773679.87,84045.29,Yes
BRAND-0290,Brand_290,B,Bamboo Fabric,Yes,101.57,1115145.63,48201.13,No
BRAND-0291,Brand_291,C,Recycled Polyester,Yes,317.71,1842437.73,66520.48,Yes
BRAND-0292,Brand_292,C,Recycled Polyester,Yes,82.69,4421283.9,47982.06,No
BRAND-0293,Brand_293,B,Recycled Polyester,Yes,92.62,3965263.66,65421.2,No
BRAND-0294,Brand_294,D,Vegan Leather,No,18.94,838928.41,36003.89,Yes
BRAND-0295,Brand_295,C,Hemp,No,246.43,3263741.45,6177.09,No
BRAND-0296,Brand_296,C,Bamboo Fabric,Yes,109.86,4313210.42,33106.79,Yes
BRAND-0297,Brand_297,A,Organic Cotton,No,42.31,2800644.56,8375.29,No
BRAND-0298,Brand_298,C,Recycled Polyester,No,336.43,2052288.57,37532.19,No
BRAND-0299,Brand_299,A,Vegan Leather,No,221.83,220448.6,17979.79,No
BRAND-0300,Brand_300,C,Bamboo Fabric,Yes,186.18,4555852.04,45798.65,No
BRAND-0301,Brand_301,D,Bamboo Fabric,No,468.72,1856635.79,97962.21,No
BRAND-0302,Brand_302,B,Tencel,No,153.28,1610499.22,48552.21,No
BRAND-0303,Brand_303,D,Organic Cotton,Yes,175.69,1854383.31,55037.31,Yes
BRAND-0304,Brand_304,C,Hemp,No,182.74,476772.03,81231.84,No
BRAND-0305,Brand_305,A,Bamboo Fabric,No,218.29,1224197.33,1756.57,Yes
BRAND-0306,Brand_306,C,Vegan Leather,Yes,242.69,2546119.76,45770.2,Yes
BRAND-0307,Brand_307,C,Hemp,Yes,93.85,1154039.08,34386.65,No
BRAND-0308,Brand_308,C,Tencel,Yes,232.78,2719635.79,13820.9,Yes
BRAND-0309,Brand_309,A,Vegan Leather,No,299.79,1583652.84,7923.49,Yes
BRAND-0310,Brand_310,D,Hemp,Yes,155.25,3514888.93,41578.57,No
BRAND-0311,Brand_311,B,Recycled Polyester,No,110.91,1416583.03,88478,No
BRAND-0312,Brand_312,A,Hemp,Yes,233.8,2525104.91,74594.21,Yes
